Date,Open,High,Low,Close,Adj Close,Volume
2001-01-01,3160.000000,3160.000000,3160.000000,3160.000000,2405.809082,0
2001-01-02,3160.000000,3380.000000,3140.000000,3350.000000,2550.462891,39455000
2001-01-03,3230.000000,3420.000000,3220.000000,3370.000000,2565.687744,37855000
2001-01-04,3790.000000,3870.000000,3660.000000,3780.000000,2877.833984,119910000
2001-01-05,3760.000000,3920.000000,3700.000000,3900.000000,2969.194824,78135000
2001-01-08,3820.000000,3910.000000,3780.000000,3880.000000,2953.967773,42295000
2001-01-09,3830.000000,3860.000000,3710.000000,3840.000000,2923.514648,46280000
2001-01-10,3780.000000,3810.000000,3700.000000,3710.000000,2824.541748,41235000
2001-01-11,3790.000000,3790.000000,3640.000000,3640.000000,2771.248291,31410000
2001-01-12,3800.000000,3890.000000,3770.000000,3840.000000,2923.514648,52900000
2001-01-15,3860.000000,4020.000000,3840.000000,3920.000000,2984.421875,51460000
2001-01-16,3960.000000,4200.000000,3850.000000,4140.000000,3151.914307,52065000
2001-01-17,4060.000000,4240.000000,4060.000000,4220.000000,3212.821045,52570000
2001-01-18,4240.000000,4530.000000,4240.000000,4400.000000,3349.860596,57685000
2001-01-19,4700.000000,4700.000000,4520.000000,4600.000000,3502.127441,54245000
2001-01-22,4600.000000,4600.000000,4470.000000,4550.000000,3464.060059,42250000
2001-01-23,4550.000000,4550.000000,4550.000000,4550.000000,3464.060059,0
2001-01-24,4550.000000,4550.000000,4550.000000,4550.000000,3464.060059,0
2001-01-25,4550.000000,4550.000000,4550.000000,4550.000000,3464.060059,0
2001-01-26,4450.000000,4480.000000,3970.000000,3980.000000,3030.101318,91025000
2001-01-29,4000.000000,4100.000000,3960.000000,4020.000000,3060.553711,47245000
2001-01-30,4100.000000,4170.000000,4070.000000,4110.000000,3129.073975,39350000
2001-01-31,4090.000000,4400.000000,4090.000000,4400.000000,3349.860596,53045000
2001-02-01,4270.000000,4420.000000,4190.000000,4270.000000,3250.886963,39730000
2001-02-02,4290.000000,4390.000000,4220.000000,4290.000000,3266.114258,27330000
2001-02-05,4170.000000,4200.000000,3990.000000,4030.000000,3068.167725,47135000
2001-02-06,3980.000000,4020.000000,3910.000000,4010.000000,3052.941406,31545000
2001-02-07,3960.000000,3990.000000,3900.000000,3900.000000,2969.194824,23130000
2001-02-08,3920.000000,4060.000000,3890.000000,4060.000000,3091.007568,34685000
2001-02-09,4040.000000,4100.000000,3980.000000,4070.000000,3098.621582,25230000
2001-02-12,3840.000000,4050.000000,3840.000000,3970.000000,3022.488281,36110000
2001-02-13,4040.000000,4100.000000,3970.000000,3980.000000,3030.101318,22295000
2001-02-14,3920.000000,4040.000000,3900.000000,3980.000000,3030.101318,19710000
2001-02-15,4200.000000,4210.000000,4100.000000,4130.000000,3144.300781,34930000
2001-02-16,4150.000000,4310.000000,4130.000000,4250.000000,3235.661133,46375000
2001-02-19,4180.000000,4210.000000,4100.000000,4190.000000,3189.982178,22880000
2001-02-20,4190.000000,4280.000000,4180.000000,4240.000000,3228.047363,18175000
2001-02-21,4160.000000,4200.000000,4140.000000,4160.000000,3167.141113,19500000
2001-02-22,4080.000000,4100.000000,3940.000000,4010.000000,3052.941406,43605000
2001-02-23,3920.000000,3970.000000,3830.000000,3840.000000,2923.514648,76855000
2001-02-26,3850.000000,3860.000000,3780.000000,3840.000000,2923.514648,35665000
2001-02-27,3840.000000,3940.000000,3790.000000,3790.000000,2885.448242,38695000
2001-02-28,3700.000000,3780.000000,3700.000000,3740.000000,2847.381836,28715000
2001-03-01,3740.000000,3740.000000,3740.000000,3740.000000,2847.381836,0
2001-03-02,3700.000000,3700.000000,3580.000000,3610.000000,2748.407959,44500000
2001-03-05,3530.000000,3720.000000,3530.000000,3720.000000,2832.154785,24620000
2001-03-06,3820.000000,3850.000000,3760.000000,3800.000000,2893.062256,25500000
2001-03-07,3960.000000,4010.000000,3900.000000,4000.000000,3045.328369,52640000
2001-03-08,3950.000000,4010.000000,3910.000000,4010.000000,3052.941406,31360000
2001-03-09,3940.000000,3940.000000,3820.000000,3840.000000,2923.514648,30800000
2001-03-12,3700.000000,3760.000000,3650.000000,3670.000000,2794.089111,38610000
2001-03-13,3570.000000,3650.000000,3540.000000,3640.000000,2771.248291,33815000
2001-03-14,3640.000000,3640.000000,3640.000000,3640.000000,2771.248291,0
2001-03-15,3790.000000,3930.000000,3760.000000,3920.000000,2984.421875,29370000
2001-03-16,3880.000000,3920.000000,3830.000000,3890.000000,2961.580566,23315000
2001-03-19,3810.000000,3880.000000,3770.000000,3800.000000,2893.062256,24865000
2001-03-20,3900.000000,3920.000000,3820.000000,3820.000000,2908.287598,21455000
